Obs_ID,Respondent_ID,Market,Actor_type,Species_code,Unit,Pair_ID,Buy_status,Buy_BDT_kg,Buy_outlier_flag,Sell_status,Sell_BDT_kg,Sell_outlier_flag,Quantity_kg
PO-0081,M1-R-05,M1,Khuchra,S03,Maund,PAIR-M1-01,value,783.76,YES,value,944.53,YES,14.93
PO-0082,M1-R-05,M1,Khuchra,S04,Maund,,value,736.87,,value,830.65,,18.66
PO-0083,M1-R-05,M1,Khuchra,S05,Maund,,value,455.52,,value,515.81,,26.12
PO-0084,M1-R-05,M1,Khuchra,S07,Maund,,value,448.82,,value,495.71,,14.93
PO-0085,M2-A-01,M2,Aratdar,S01,Maund,PAIR-M2-02,value,1145.5,,value,1205.79,,149.28
PO-0086,M2-A-01,M2,Aratdar,S03,Maund,,value,777.06,,value,810.56,,246.31
PO-0087,M2-A-01,M2,Aratdar,S05,Maund,,value,442.12,,value,462.22,,212.72
PO-0088,M2-A-01,M2,Aratdar,S10,Maund,,value,187.57,,value,195.61,,287.36
PO-0089,M2-A-02,M2,Aratdar,S01,Maund,,value,1152.2,,value,1205.79,,171.67
PO-0090,M2-A-02,M2,Aratdar,S02,Maund,,value,1225.88,,value,1272.78,,208.99
PO-0091,M2-A-02,M2,Aratdar,S05,Maund,,value,462.22,,value,475.62,,238.85
PO-0092,M2-A-02,M2,Aratdar,S06,Maund,,value,355.04,,value,368.44,,212.72
PO-0093,M2-A-02,M2,Aratdar,S08,Maund,,value,246.52,,D,,,231.38
PO-0094,M2-A-02,M2,Aratdar,S03,,,K,,,K,,,
PO-0095,M2-A-03,M2,Aratdar,S01,Maund,,value,1065.11,,value,1118.7,,63.44
PO-0096,M2-A-03,M2,Aratdar,S02,Maund,,value,1266.08,,value,1339.76,,78.37
PO-0097,M2-A-03,M2,Aratdar,S04,Maund,,value,723.47,,value,750.27,,63.44
PO-0098,M2-A-03,M2,Aratdar,S06,Maund,,value,328.24,,value,348.34,,78.37
PO-0099,M2-A-03,M2,Aratdar,S07,Maund,,value,401.93,,value,422.03,,59.71
PO-0100,M2-A-04,M2,Aratdar,S01,Maund,,value,1085.21,,D,,,141.82
PO-0101,M2-A-04,M2,Aratdar,S02,Maund,,value,1158.9,,value,1212.49,,186.6
PO-0102,M2-A-04,M2,Aratdar,S03,Maund,PAIR-M2-01,value,837.35,,value,870.85,,175.4
PO-0103,M2-A-04,M2,Aratdar,S04,Maund,,value,730.17,,value,756.97,,111.96
PO-0104,M2-A-04,M2,Aratdar,S05,Maund,,value,462.22,,value,482.32,,119.42
PO-0105,M2-A-05,M2,Aratdar,S01,Maund,,value,1158.9,,value,1205.79,,63.44
PO-0106,M2-A-05,M2,Aratdar,S02,Maund,,value,1165.59,,value,1199.09,,70.91
PO-0107,M2-A-05,M2,Aratdar,S04,Maund,,value,676.58,,value,703.38,,48.52
PO-0108,M2-A-05,M2,Aratdar,S05,Maund,PAIR-M2-03,value,435.42,,value,448.82,,44.78
PO-0109,M2-A-05,M2,Aratdar,S07,Maund,,value,415.33,,value,435.42,,52.25
PO-0110,M2-B-01,M2,Bepari_Faria,S01,Maund,,value,1219.19,,value,1306.27,,29.86
PO-0111,M2-B-01,M2,Bepari_Faria,S06,Maund,,value,348.34,,value,375.13,,48.52
PO-0112,M2-B-01,M2,Bepari_Faria,S07,Maund,,value,395.23,,value,442.12,,18.66
PO-0113,M2-B-01,M2,Bepari_Faria,S08,Maund,,value,288.05,,value,308.15,,44.78
PO-0114,M2-B-02,M2,Bepari_Faria,S01,Maund,,value,1118.7,,value,1232.58,,41.05
PO-0115,M2-B-02,M2,Bepari_Faria,S03,Maund,,value,857.45,,value,944.53,,48.52
PO-0116,M2-B-02,M2,Bepari_Faria,S05,Maund,,value,468.92,,value,495.71,,37.32
PO-0117,M2-B-02,M2,Bepari_Faria,S07,Maund,,value,422.03,,value,448.82,,29.86
PO-0118,M2-B-02,M2,Bepari_Faria,S09,Maund,,value,230.44,,value,251.88,,48.52
PO-0119,M2-B-02,M2,Bepari_Faria,S08,,,K,,,K,,,
PO-0120,M2-B-03,M2,Bepari_Faria,S04,Maund,,value,723.47,,value,783.76,,48.52
PO-0121,M2-B-03,M2,Bepari_Faria,S05,Maund,,value,475.62,,value,515.81,,63.44
PO-0122,M2-B-03,M2,Bepari_Faria,S06,Maund,,value,368.44,,value,395.23,,67.18
PO-0123,M2-B-03,M2,Bepari_Faria,S07,Maund,,value,408.63,,value,448.82,,67.18
PO-0124,M2-B-03,M2,Bepari_Faria,S09,Maund,,value,219.72,,value,238.48,,70.91
PO-0125,M2-B-04,M2,Bepari_Faria,S01,Maund,,K,,,value,1312.97,,59.71
PO-0126,M2-B-04,M2,Bepari_Faria,S02,Maund,,value,1266.08,,value,1406.75,,37.32
PO-0127,M2-B-04,M2,Bepari_Faria,S04,Maund,,value,716.77,,value,770.36,,78.37
PO-0128,M2-B-04,M2,Bepari_Faria,S05,Maund,,value,475.62,,value,509.11,,59.71
PO-0129,M2-B-04,M2,Bepari_Faria,S06,Maund,,value,375.13,,value,415.33,,33.59
PO-0130,M2-B-05,M2,Bepari_Faria,S01,Maund,,value,1185.69,,value,1346.46,,63.44
PO-0131,M2-B-05,M2,Bepari_Faria,S02,Maund,,value,1225.88,,value,1373.26,,48.52
PO-0132,M2-B-05,M2,Bepari_Faria,S03,Maund,,value,857.45,,value,924.44,,52.25
PO-0133,M2-B-05,M2,Bepari_Faria,S06,Maund,,value,361.74,,value,395.23,,59.71
PO-0134,M2-B-05,M2,Bepari_Faria,S10,Maund,,value,184.89,,value,200.96,,55.98
PO-0135,M2-R-01,M2,Khuchra,S01,Kg,,value,1215.0,,value,1405.0,,15.0
PO-0136,M2-R-01,M2,Khuchra,S02,Kg,,value,1400.0,,value,1630.0,,10.0
PO-0137,M2-R-01,M2,Khuchra,S03,Kg,,K,,,value,1055.0,,10.0
PO-0138,M2-R-01,M2,Khuchra,S05,Kg,PAIR-M2-03,value,450.0,,D,,,10.0
PO-0139,M2-R-01,M2,Khuchra,S07,Kg,,value,475.0,,value,540.0,,10.0
PO-0140,M2-R-02,M2,Khuchra,S03,Maund,,value,890.94,,K,,,22.39
PO-0141,M2-R-02,M2,Khuchra,S05,Maund,,value,489.01,,value,556.0,,22.39
PO-0142,M2-R-02,M2,Khuchra,S06,Maund,,value,401.93,,value,462.22,,22.39
PO-0143,M2-R-02,M2,Khuchra,S07,Maund,,value,468.92,,value,515.81,,14.93
PO-0144,M2-R-02,M2,Khuchra,S10,Maund,,value,211.68,,value,241.16,,14.93
PO-0145,M2-R-03,M2,Khuchra,S01,Maund,,value,1299.57,,value,1440.25,,11.2
PO-0146,M2-R-03,M2,Khuchra,S03,Maund,PAIR-M2-01,value,870.85,,value,1024.92,,18.66
PO-0147,M2-R-03,M2,Khuchra,S05,Maund,,value,489.01,,value,562.7,,18.66
PO-0148,M2-R-03,M2,Khuchra,S06,Maund,,value,395.23,,value,455.52,,22.39
PO-0149,M2-R-03,M2,Khuchra,S07,Maund,,value,468.92,,value,529.21,,22.39
PO-0150,M2-R-04,M2,Khuchra,S01,Maund,,value,1205.79,,value,1393.35,,26.12
PO-0151,M2-R-04,M2,Khuchra,S02,Maund,,value,1366.56,,value,1547.43,,26.12
PO-0152,M2-R-04,M2,Khuchra,S03,Maund,,value,917.74,,value,998.12,,18.66
PO-0153,M2-R-04,M2,Khuchra,S05,Maund,,value,495.71,,K,,,14.93
PO-0154,M2-R-04,M2,Khuchra,S06,Maund,,value,388.53,,D,,,14.93
PO-0155,M2-R-04,M2,Khuchra,S08,,,K,,,K,,,
PO-0156,M2-R-05,M2,Khuchra,S01,Maund,PAIR-M2-02,value,1205.79,,value,1534.03,,14.93
PO-0157,M2-R-05,M2,Khuchra,S02,Maund,,value,1333.07,,value,1507.23,,22.39
PO-0158,M2-R-05,M2,Khuchra,S03,Maund,,value,917.74,,value,1024.92,,22.39
PO-0159,M2-R-05,M2,Khuchra,S05,Maund,,value,495.71,,K,,,14.93
PO-0160,M2-R-05,M2,Khuchra,S06,Maund,,value,408.63,,value,468.92,,22.39
PO-0161,M3-A-01,M3,Aratdar,S01,Maund,,value,1091.91,,value,1145.5,,175.4
PO-0162,M3-A-01,M3,Aratdar,S02,Maund,,value,1299.57,,value,1353.16,,175.4
PO-0163,M3-A-01,M3,Aratdar,S03,Maund,,value,830.65,,value,870.85,,145.55
PO-0164,M3-A-01,M3,Aratdar,S05,Maund,,value,448.82,,value,468.92,,227.65
PO-0165,M3-A-01,M3,Aratdar,S08,,,K,,,K,,,
PO-0166,M3-A-01,M3,Aratdar,S07,,,K,,,K,,,
PO-0167,M3-A-02,M3,Aratdar,S01,Maund,,value,1138.8,,value,1185.69,,123.16
PO-0168,M3-A-02,M3,Aratdar,S02,Maund,,value,1292.87,,value,1333.07,,242.58
PO-0169,M3-A-02,M3,Aratdar,S03,Maund,,value,837.35,,value,884.24,,156.74
PO-0170,M3-A-02,M3,Aratdar,S04,Maund,PAIR-M3-01,value,730.17,,value,756.97,,246.31
PO-0171,M3-A-02,M3,Aratdar,S05,Maund,,value,468.92,,value,489.01,,242.58
PO-0172,M3-A-03,M3,Aratdar,S02,Maund,,value,1199.09,,value,1259.38,,253.78
PO-0173,M3-A-03,M3,Aratdar,S03,Maund,,value,850.75,,value,897.64,,227.65
PO-0174,M3-A-03,M3,Aratdar,S05,Maund,,value,442.12,,D,,,208.99
PO-0175,M3-A-03,M3,Aratdar,S06,Maund,,value,361.74,,value,381.83,,167.94
PO-0176,M3-A-03,M3,Aratdar,S07,Maund,,value,388.53,,value,408.63,,123.16
PO-0177,M3-A-03,M3,Aratdar,S10,,,K,,,K,,,
PO-0178,M3-A-03,M3,Aratdar,S01,,,K,,,K,,,
PO-0179,M3-A-04,M3,Aratdar,S01,Maund,,value,1172.29,,value,1212.49,,100.76
PO-0180,M3-A-04,M3,Aratdar,S02,Maund,,value,1232.58,,value,1299.57,,100.76
PO-0181,M3-A-04,M3,Aratdar,S03,Maund,,value,777.06,,value,810.56,,175.4
PO-0182,M3-A-04,M3,Aratdar,S04,Maund,,K,,,value,689.98,,156.74
PO-0183,M3-A-04,M3,Aratdar,S05,Maund,,value,455.52,,value,475.62,,160.48
PO-0184,M3-A-04,M3,Aratdar,S06,,,K,,,K,,,
PO-0185,M3-A-05,M3,Aratdar,S01,Maund,,value,1145.5,,value,1192.39,,171.67
PO-0186,M3-A-05,M3,Aratdar,S02,Maund,PAIR-M3-02,value,1245.98,,value,1299.57,,115.69
PO-0187,M3-A-05,M3,Aratdar,S03,Maund,,value,850.75,,D,,,138.08
PO-0188,M3-A-05,M3,Aratdar,S05,Maund,,value,428.72,,value,448.82,,201.53
PO-0189,M3-A-05,M3,Aratdar,S06,Maund,,value,348.34,,value,361.74,,279.9
PO-0190,M3-B-01,M3,Bepari_Faria,S01,Maund,,value,1152.2,,value,1259.38,,22.39
PO-0191,M3-B-01,M3,Bepari_Faria,S02,Maund,,value,1366.56,,D,,,18.66
PO-0192,M3-B-01,M3,Bepari_Faria,S05,Maund,,value,462.22,,value,502.41,,33.59
PO-0193,M3-B-01,M3,Bepari_Faria,S06,Maund,,value,381.83,,value,422.03,,33.59
PO-0194,M3-B-01,M3,Bepari_Faria,S07,Maund,,value,408.63,,value,442.12,,33.59
PO-0195,M3-B-02,M3,Bepari_Faria,S01,Maund,,value,1178.99,,value,1272.78,,22.39
PO-0196,M3-B-02,M3,Bepari_Faria,S02,Maund,,value,1219.19,,value,1326.37,,18.66
PO-0197,M3-B-02,M3,Bepari_Faria,S03,Maund,,value,823.95,,value,890.94,,22.39
PO-0198,M3-B-02,M3,Bepari_Faria,S04,Maund,,value,736.87,,value,810.56,,29.86
PO-0199,M3-B-02,M3,Bepari_Faria,S05,Maund,,value,482.32,,value,542.6,,44.78
PO-0200,M3-B-03,M3,Bepari_Faria,S01,Maund,,value,1239.28,,value,1339.76,,29.86
PO-0201,M3-B-03,M3,Bepari_Faria,S03,Maund,,value,830.65,,value,911.04,,41.05
PO-0202,M3-B-03,M3,Bepari_Faria,S04,Maund,,value,736.87,,value,817.26,,26.12
PO-0203,M3-B-03,M3,Bepari_Faria,S05,Maund,,value,442.12,,value,489.01,,41.05
PO-0204,M3-B-03,M3,Bepari_Faria,S06,Maund,,value,381.83,,value,415.33,,29.86
PO-0205,M3-B-04,M3,Bepari_Faria,S01,Maund,,value,1158.9,,value,1279.47,,33.59
PO-0206,M3-B-04,M3,Bepari_Faria,S02,Maund,,value,1192.39,,value,1326.37,,18.66
PO-0207,M3-B-04,M3,Bepari_Faria,S03,Maund,,value,870.85,,value,951.23,,37.32
PO-0208,M3-B-04,M3,Bepari_Faria,S06,Maund,,value,355.04,,value,381.83,,37.32
PO-0209,M3-B-04,M3,Bepari_Faria,S10,Maund,,value,182.21,,value,200.96,,18.66
PO-0210,M3-B-04,M3,Bepari_Faria,S08,,,K,,,K,,,
PO-0211,M3-B-04,M3,Bepari_Faria,S04,,,K,,,K,,,
PO-0212,M3-B-05,M3,Bepari_Faria,S01,Maund,,value,1118.7,,value,1252.68,,26.12
PO-0213,M3-B-05,M3,Bepari_Faria,S02,Maund,,value,1266.08,,value,1386.66,,33.59
PO-0214,M3-B-05,M3,Bepari_Faria,S03,Maund,,value,803.86,,value,864.15,,33.59
PO-0215,M3-B-05,M3,Bepari_Faria,S04,Maund,,value,723.47,,value,797.16,,22.39
PO-0216,M3-B-05,M3,Bepari_Faria,S05,Maund,,value,442.12,,value,495.71,,26.12
PO-0217,M3-B-05,M3,Bepari_Faria,S10,,,K,,,K,,,
PO-0218,M3-R-01,M3,Khuchra,S03,Kg,,value,895.0,,value,1030.0,,25.0
PO-0219,M3-R-01,M3,Khuchra,S05,Kg,,value,515.0,,value,585.0,,40.0
PO-0220,M3-R-01,M3,Khuchra,S06,Kg,,value,405.0,,value,460.0,,40.0
PO-0221,M3-R-01,M3,Khuchra,S10,Kg,,value,210.0,,value,235.0,,30.0
PO-0222,M3-R-02,M3,Khuchra,S01,Maund,,value,1279.47,,value,1393.35,,14.93
PO-0223,M3-R-02,M3,Khuchra,S02,Maund,,value,1373.26,,value,1580.92,,14.93
PO-0224,M3-R-02,M3,Khuchra,S03,Maund,,value,924.44,,value,1091.91,,14.93
PO-0225,M3-R-02,M3,Khuchra,S04,Maund,,value,810.56,,value,937.83,,14.93
PO-0226,M3-R-02,M3,Khuchra,S05,Maund,,value,502.41,,value,576.1,,7.46
PO-0227,M3-R-03,M3,Khuchra,S01,Kg,,value,1330.0,,value,1495.0,,20.0
PO-0228,M3-R-03,M3,Khuchra,S02,Kg,,value,1410.0,,value,1550.0,,25.0
PO-0229,M3-R-03,M3,Khuchra,S03,Kg,,value,905.0,,value,1010.0,,35.0
PO-0230,M3-R-03,M3,Khuchra,S04,Kg,PAIR-M3-01,value,760.0,,value,900.0,,35.0
PO-0231,M3-R-03,M3,Khuchra,S05,Kg,,value,520.0,,K,,,15.0
PO-0232,M3-R-03,M3,Khuchra,S09,,,K,,,K,,,
PO-0233,M3-R-03,M3,Khuchra,S07,,,K,,,K,,,
PO-0234,M3-R-04,M3,Khuchra,S06,Kg,,K,,,value,450.0,,35.0
PO-0235,M3-R-04,M3,Khuchra,S03,Kg,,value,880.0,,value,1025.0,,25.0
PO-0236,M3-R-04,M3,Khuchra,S02,Kg,PAIR-M3-02,value,1300.0,,value,1670.0,,25.0
PO-0237,M3-R-04,M3,Khuchra,S04,Kg,,value,770.0,,value,890.0,,40.0
PO-0238,M3-R-05,M3,Khuchra,S01,Kg,,value,1285.0,,value,1460.0,,30.0
PO-0239,M3-R-05,M3,Khuchra,S02,Kg,,value,1355.0,,value,1555.0,,25.0
PO-0240,M3-R-05,M3,Khuchra,S03,Kg,,value,940.0,,value,1070.0,,25.0
PO-0241,M3-R-05,M3,Khuchra,S04,Kg,,value,790.0,,value,910.0,,15.0
PO-0242,M3-R-05,M3,Khuchra,S05,Kg,,value,515.0,,value,590.0,,30.0
PO-0243,M3-R-05,M3,Khuchra,S08,,,K,,,K,,,
PO-0244,M4-A-01,M4,Aratdar,S01,Maund,,value,1158.9,,value,1205.79,,126.89
PO-0245,M4-A-01,M4,Aratdar,S02,Maund,PAIR-M4-01,value,1158.9,,value,1212.49,,134.35
PO-0246,M4-A-01,M4,Aratdar,S03,Maund,,value,810.56,,value,844.05,,205.26
PO-0247,M4-A-01,M4,Aratdar,S06,Maund,,value,328.24,,value,341.64,,302.29
PO-0248,M4-A-01,M4,Aratdar,S07,Maund,,value,401.93,,value,422.03,,190.33
PO-0249,M4-A-02,M4,Aratdar,S02,Maund,PAIR-M4-03,value,1165.59,,value,1205.79,,279.9
PO-0250,M4-A-02,M4,Aratdar,S03,Maund,,value,797.16,,value,823.95,,302.29
PO-0251,M4-A-02,M4,Aratdar,S05,Maund,,value,462.22,,D,,,220.19
PO-0252,M4-A-02,M4,Aratdar,S06,Maund,,value,341.64,,value,361.74,,156.74
PO-0253,M4-A-02,M4,Aratdar,S07,Maund,,value,401.93,,value,415.33,,141.82
PO-0254,M4-A-02,M4,Aratdar,S09,,,K,,,K,,,
PO-0255,M4-A-02,M4,Aratdar,S08,,,K,,,K,,,
PO-0256,M4-A-03,M4,Aratdar,S01,Maund,,value,1071.81,,value,1118.7,,70.91
PO-0257,M4-A-03,M4,Aratdar,S02,Maund,,value,1239.28,,value,1306.27,,41.05
PO-0258,M4-A-03,M4,Aratdar,S04,Maund,,value,723.47,,value,750.27,,52.25
PO-0259,M4-A-03,M4,Aratdar,S05,Maund,,value,448.82,,value,468.92,,85.84
PO-0260,M4-A-03,M4,Aratdar,S06,Maund,PAIR-M4-02,value,334.94,,D,,,67.18
PO-0261,M4-A-04,M4,Aratdar,S01,Maund,,value,1145.5,,value,1192.39,,186.6
PO-0262,M4-A-04,M4,Aratdar,S05,Maund,,value,448.82,,value,468.92,,223.92
PO-0263,M4-A-04,M4,Aratdar,S06,Maund,,value,355.04,,value,375.13,,212.72
PO-0264,M4-A-04,M4,Aratdar,S07,Maund,,value,408.63,,value,435.42,,100.76
PO-0265,M4-A-04,M4,Aratdar,S09,Maund,,value,209.0,,value,217.04,,149.28
PO-0266,M4-A-05,M4,Aratdar,S01,Maund,,value,1051.71,,value,1098.61,,153.01
PO-0267,M4-A-05,M4,Aratdar,S02,Maund,,value,1138.8,,value,1185.69,,175.4
PO-0268,M4-A-05,M4,Aratdar,S04,Maund,,value,669.88,,value,703.38,,179.14
PO-0269,M4-A-05,M4,Aratdar,S05,Maund,,value,408.63,,value,435.42,,167.94
PO-0270,M4-A-05,M4,Aratdar,S06,Maund,,value,328.24,,value,341.64,,134.35
PO-0271,M4-B-01,M4,Bepari_Faria,S01,Maund,,value,1145.5,,value,1252.68,,37.32
PO-0272,M4-B-01,M4,Bepari_Faria,S02,Maund,,value,1312.97,,value,1433.55,,48.52
PO-0273,M4-B-01,M4,Bepari_Faria,S03,Maund,,value,864.15,,value,964.63,,67.18
PO-0274,M4-B-01,M4,Bepari_Faria,S05,Maund,,value,468.92,,value,529.21,,37.32
PO-0275,M4-B-01,M4,Bepari_Faria,S06,Maund,,value,341.64,,value,381.83,,63.44
PO-0276,M4-B-01,M4,Bepari_Faria,S07,,,K,,,K,,,
PO-0277,M4-B-01,M4,Bepari_Faria,S08,,,K,,,K,,,
PO-0278,M4-B-02,M4,Bepari_Faria,S02,Maund,,value,1299.57,,value,1413.45,,29.86
PO-0279,M4-B-02,M4,Bepari_Faria,S04,Maund,,value,703.38,,value,770.36,,18.66
PO-0280,M4-B-02,M4,Bepari_Faria,S05,Maund,,value,442.12,,value,495.71,,18.66
PO-0281,M4-B-02,M4,Bepari_Faria,S06,Maund,,value,368.44,,value,415.33,,22.39
PO-0282,M4-B-02,M4,Bepari_Faria,S10,Maund,,value,192.93,,value,206.32,,26.12
PO-0283,M4-B-02,M4,Bepari_Faria,S08,,,K,,,K,,,
